time_YYMMDD_HHMMSS,WindSpeedMax,WindDirection,AirTemperature,AirPressure,AirHumidity,WindSpeed
2023-04-18 15:30:00,3.0,104.68719,12.659999,1028.3401,77.78001,2.4266665
2023-04-18 15:45:00,4.9,127.312775,12.6,1026.6428,78.45714,3.6214287
2023-04-18 16:00:00,2.8,94.96639,12.6071415,1025.5787,78.78572,2.0928571
2023-04-18 16:15:00,4.3,79.00348,12.135715,1025.5857,81.37856,3.1857145
2023-04-18 16:30:00,6.6,133.99973,12.107142,1027.2928,81.57857,5.292857
2023-04-18 16:45:00,6.9,170.9323,12.028572,1026.7501,81.65714,4.8
2023-04-18 17:00:00,5.8,151.99481,11.546666,1026.86,82.113335,4.8533335
2023-04-18 17:15:00,3.6,99.20188,12.046665,1026.7533,78.02,2.5466666
2023-04-18 17:30:00,4.5,107.69271,11.82857,1026.2786,80.05,2.9714284
2023-04-18 17:45:00,5.6,113.0316,11.67143,1025.7357,79.4,3.5285716
2023-04-18 18:00:00,3.2,102.59491,11.199998,1025.95,83.52142,1.6714284
2023-04-18 18:15:00,1.5,173.11534,11.021429,1025.657,85.792854,0.9499999
2023-04-18 18:30:00,1.0,77.358604,10.9,1025.4573,85.928566,0.33571428
2023-04-18 18:45:00,2.9,224.00017,10.98,1025.1799,84.27999,2.7599998
2023-04-18 19:00:00,4.1,194.53197,11.053334,1024.7867,85.659996,3.4866667
2023-04-18 19:15:00,2.7,180.24716,11.407143,1024.3787,83.35714,1.5785714
2023-04-18 19:30:00,1.7,343.26462,11.264285,1023.9714,85.450005,1.0285712
2023-04-18 19:45:00,1.0,113.60658,11.285715,1024.9641,87.99284,0.71428573
2023-04-18 20:00:00,1.1,130.3464,11.0,1025.7,88.90714,0.5428571
2023-04-18 20:15:00,3.7,110.00089,10.892858,1026.5999,87.72857,2.4357145
2023-04-18 20:30:00,3.2,105.92039,10.686665,1027.2933,89.67333,2.0933335
2023-04-18 20:45:00,0.9,303.88098,10.57857,1027.7643,90.88572,0.32857147
2023-04-18 21:00:00,3.7,353.20343,10.599999,1027.3428,90.66429,2.8999999
2023-04-18 21:15:00,4.1,13.108976,11.585714,1027.3785,82.34999,2.192857
2023-04-18 21:30:00,2.6,195.98094,11.057142,1023.7428,87.01428,1.5071429
2023-04-18 21:45:00,1.4,247.17352,11.064285,1025.0142,86.45714,0.9999999
2023-04-18 22:00:00,1.7,234.82492,11.719999,1024.0402,80.77333,1.16
2023-04-18 22:15:00,1.9,335.6929,11.946668,1022.29333,78.95999,1.36
2023-04-18 22:30:00,2.4,279.69257,12.400001,1021.0072,77.885704,0.7571429
2023-04-18 22:45:00,1.8,240.73975,11.464285,1021.2215,83.471436,1.3285713
2023-04-18 23:00:00,3.0,268.73566,11.742859,1021.9287,81.435715,1.5428572
2023-04-18 23:15:00,6.0,312.15845,12.5,1020.9857,75.34286,4.4142857
2023-04-18 23:30:00,3.5,279.4057,12.07857,1020.18585,79.13572,1.7285715
2023-04-18 23:45:00,2.7,268.97504,11.9333315,1020.37335,79.9,1.34
2023-04-19 00:00:00,3.2,262.7872,11.559999,1020.7334,82.80667,2.0666668
2023-04-19 00:15:00,2.7,281.008,11.707141,1020.95013,80.98571,1.6714287
2023-04-19 00:30:00,3.1,242.49118,11.800002,1020.743,79.58571,2.2928574
2023-04-19 00:45:00,1.7,248.68333,11.742856,1020.4073,80.36427,0.92857134
2023-04-19 01:00:00,0.9,141.28505,11.535714,1019.89996,82.35,0.47142863
2023-04-19 01:15:00,2.1,315.56525,11.364287,1019.9286,83.68572,1.1428571
2023-04-19 01:30:00,1.6,265.65326,11.286668,1020.18677,84.69334,0.87999994
2023-04-19 01:45:00,2.1,253.89574,11.259999,1020.4068,85.67334,1.48
2023-04-19 02:00:00,1.7,258.09326,11.300002,1021.0,85.221436,1.1499999
2023-04-19 02:15:00,3.1,291.0711,11.4,1021.0572,85.06428,1.75
2023-04-19 02:30:00,3.0,316.0818,11.478571,1021.29987,84.72857,2.392857
2023-04-19 02:45:00,2.7,334.9592,11.628571,1021.39294,83.799995,1.9785715
2023-04-19 03:00:00,2.1,293.7734,11.5,1021.29987,84.692856,1.3714286
2023-04-19 03:15:00,3.5,314.445,11.713331,1021.39996,83.00667,2.4666667
2023-04-19 03:30:00,5.1,324.14767,11.633334,1021.0866,83.94666,2.6933331
2023-04-19 03:45:00,1.7,285.81717,11.471428,1021.25,85.78571,0.8928572
2023-04-19 04:00:00,2.3,281.2624,11.478571,1021.80707,84.86427,1.1
2023-04-19 04:15:00,2.5,291.71194,11.4,1021.9001,84.42857,1.7357141
2023-04-19 04:30:00,1.4,297.92676,11.4,1021.9286,85.071434,0.82142866
2023-04-19 04:45:00,2.4,329.54297,11.492857,1022.1427,83.27143,1.8571428
2023-04-19 05:00:00,2.3,341.8866,11.5,1021.74677,82.58668,1.2800001
2023-04-19 05:15:00,2.2,272.8109,11.373335,1021.82,86.31999,1.08
2023-04-19 05:30:00,1.5,283.79987,11.0,1022.76434,88.85,1.2142857
2023-04-19 05:45:00,1.8,270.1989,11.035715,1023.93567,87.45,1.0857143
2023-04-19 06:00:00,3.1,250.45123,11.092857,1024.0999,88.75001,1.8785715
2023-04-19 06:15:00,3.4,251.02005,10.9,1024.8572,89.03571,1.7642859
