lookback_hours,neurons,layers,lag_step,roll_min,roll_max,exp_min,exp_max,r2_score
6,50,1,2,2,10,2,10,0.4619724903149363
6,50,3,2,2,10,2,10,0.5500165741795626
12,50,1,2,2,10,2,10,0.4436693477470525
12,50,3,2,2,10,2,10,0.4754256829351837
